,missing_frac,missing_count
_custom_disclosure,0.9120696806304438,4398
reviewer_name,0.013894649523019494,67
rating,0.013894649523019494,67
acf_rating,0.013894649523019494,67
_custom_conflicts,0.011198672749896308,54
_custom_compensation,0.011198672749896308,54
_custom_relationship,0.010369141435089175,50
Content,0.00020738282870178348,1
notification_page,0.00020738282870178348,1
notification_name,0.00020738282870178348,1
ID,0.0,0
Title,0.0,0
Date,0.0,0
_custom_form,0.0,0
Status,0.0,0
Post Modified Date,0.0,0
advisor_id,0.0,0
advisor_name,0.0,0
review_text_raw,0.0,0
review_date,0.0,0
